dog_name,gender,breed,birth,colour,borough
Buddy,Male,Afghan Hound,Jan-00,Brindle,Manhattan
Nicole,Female,Afghan Hound,Jul-00,Black,Manhattan
Abby,Female,Afghan Hound,Nov-00,Black,Manhattan
Chloe,Female,Afghan Hound,Jan-02,White,Manhattan
Jazzle,Female,Afghan Hound,Oct-02,Blond,Manhattan
Trouble,Male,Afghan Hound,Jan-03,Blond,Bronx
Grace,Female,Afghan Hound,Jun-03,Cream,Manhattan
Sisu,Male,Afghan Hound,Oct-04,Black,Manhattan
Jakie,Male,Afghan Hound,Feb-05,White,Queens
Geo,Male,Afghan Hound,Jan-07,Orange,Bronx
Ginger,Female,Afghan Hound,Jan-07,Tan,Bronx
Misty,Female,Afghan Hound,Jul-07,Tan,Bronx
Troy,Male,Afghan Hound,Jul-09,Blond,Staten Island
Nick,Male,Afghan Hound,Nov-09,Black,Queens
Prince,Male,Afghan Hound,Jan-10,Tan,Queens
Kiku-No-Hm,Female,Akita,Jan-98,Gray,Manhattan
Sasha,Female,Akita,Jan-98,White,Manhattan
Bernie,Male,Akita,Jan-99,White,Queens
Coffee,Female,Akita,Jan-99,Brown,Bronx
Jason,Male,Akita,Jan-99,Black,Queens
Socrates,Male,Akita,Jan-99,White,Queens
Suki,Female,Akita,Jan-99,Rust,Staten Island
Angel,Female,Akita,Sep-99,Rust,Staten Island
Aspen,Female,Akita,Jan-00,Brown,Brooklyn
Bear,Male,Akita,Jan-00,Black,Queens
Buster,Male,Akita,Jan-00,White,Queens
Chiyo-Kyra,Female,Akita,Jan-00,Brindle,Queens
Chula,Female,Akita,Jan-00,White,Queens
Kita,Female,Akita,Jan-00,Rust,Brooklyn
Nicki,Female,Akita,Jan-00,Black,Bronx
Nikita,Female,Akita,Jan-00,White,Queens
Ralph,Male,Akita,Jan-00,Tan,Queens
Rambo,Male,Akita,Jan-00,Tan,Queens
Shoko,Male,Akita,Feb-00,Tan,Brooklyn
Bear,Male,Akita,Jan-01,Blond,Bronx
Darius,Male,Akita,Jan-01,White,Queens
Lady,Female,Akita,Jan-01,Tan,Queens
Oreo,Female,Akita,Jan-01,Black,Staten Island
Prince,Male,Akita,Jan-01,Blond,Queens
Sabastian,Male,Akita,Jan-01,White,Manhattan
Nicko,Female,Akita,Apr-01,Tan,Bronx
Akiro,Male,Akita,Jan-02,Tan,Bronx
Annie,Female,Akita,Jan-02,White,Manhattan
King,Male,Akita,Jan-02,Brown,Bronx
Scoobydora,Female,Akita,Jan-02,Brown,Queens
Tenshi,Female,Akita,Jan-02,Tan,Manhattan
Yuki,Female,Akita,Jan-02,Black,Bronx
Grizz,Male,Akita,Mar-02,Rust,Manhattan
Bear,Male,Akita,Aug-02,White,Manhattan
Sukiyaki,Female,Akita,Oct-02,Brindle,Manhattan
Amy,Female,Akita,Jan-03,Brown,Manhattan
Asia,Female,Akita,Jan-03,Black,Bronx
Laki,Male,Akita,Jan-03,Black,Queens
Lucy,Female,Akita,Jan-03,White,Manhattan
Luna,Female,Akita,Jan-03,White,Brooklyn
Mugs,Male,Akita,Jan-03,Tan,Staten Island
Nicki,Male,Akita,Jan-03,White,Queens
Puki,Female,Akita,Jan-03,Black,Queens
Sydney,Female,Akita,Jan-03,Brown,Manhattan
Yoshi,Female,Akita,Jan-03,Brindle,Bronx
Babe,Male,Akita,Jan-04,White,Queens
Heavensent,Female,Akita,Jan-04,Brown,Queens
Kobi,Female,Akita,Jan-04,Brindle,Bronx
Nikita,Male,Akita,Jan-04,Brindle,Manhattan
Rocky,Male,Akita,Jan-04,White,Queens
Romeo,Male,Akita,Jan-04,Brindle,Brooklyn
Tara,Female,Akita,Jan-04,Tan,Manhattan
Tara,Female,Akita,Jan-04,White,Queens
Tasha,Female,Akita,Jan-04,Brown,Queens
Bella,Female,Akita,Sep-04,Black,Staten Island
Yoji,Male,Akita,Nov-04,Black,Queens
Tyson,Male,Akita,Dec-04,White,Queens
Cookie,Female,Akita,Jan-05,Black,Staten Island
Jax,Male,Akita,Jan-05,Black,Queens
Kelby,Male,Akita,Jan-05,Black,Brooklyn
Kiko,Male,Akita,Jan-05,Brown,Staten Island
N/A,Female,Akita,Jan-05,Blond,Manhattan
Snowball,Male,Akita,Jan-05,White,Brooklyn
Bogie,Male,Akita,Jun-05,Black,Bronx
Won,Male,Akita,Jul-05,White,Queens
Ginger,Female,Akita,Oct-05,White,Brooklyn
Bear,Male,Akita,Jan-06,Brindle,Brooklyn
Buddy,Male,Akita,Jan-06,Black,Bronx
Coquito,Male,Akita,Jan-06,Tan,Bronx
Henessey,Female,Akita,Jan-06,Black,Brooklyn
Kichi,Female,Akita,Jan-06,Brown,Brooklyn
Yogi,Male,Akita,Jan-06,White,Queens
Brandy,Female,Akita,Mar-06,Tan,Queens
Chester,Male,Akita,Sep-06,Black,Queens
Jazzy,Female,Akita,Sep-06,Blond,Queens
Seven,Male,Akita,Oct-06,Blond,Queens
Kira-A,Female,Akita,Nov-06,Rust,Brooklyn
Layla,Female,Akita,Dec-06,Black,Queens
Charlie,Male,Akita,Jan-07,Brindle,Brooklyn
Reggie,Male,Akita,Jan-07,Rust,Brooklyn
Rocco,Male,Akita,Jan-07,Silver,Staten Island
Saki,Female,Akita,Jan-07,White,Bronx
Stella,Female,Akita,Jan-07,White,Brooklyn
Mica,Female,Akita,Feb-07,White,Staten Island
Bubba,Male,Akita,Mar-07,Black,Brooklyn
Nelly,Female,Akita,May-07,Black,Manhattan
Hiroshi,Male,Akita,Sep-07,White,Queens
Matagi,Male,Akita,Sep-07,White,Brooklyn
Kimba,Female,Akita,Oct-07,Brown,Bronx
Shiloh,Female,Akita,Oct-07,White,Bronx
Arnie,Male,Akita,Dec-07,Tan,Brooklyn
Gus,Male,Akita,Jan-08,Black,Manhattan
Benny,Male,Akita,Mar-08,Brown,Brooklyn
